dimension,horizon,held_out_function,reward,best_config_found,config_id,mean_rank,test_config_found,test_status,score,best_regret,final_regret,mean_budget_fraction_used,mean_remaining_movement_budget,mean_total_raw_move_cost,std_total_raw_move_cost,mean_total_scaled_move_cost,std_total_scaled_move_cost
3,5,sum_square,pure_bo,False,nan,nan,True,ok,0.01789513815473406,0.01789513815473406,0.01789513815473406,nan,nan,13.777621690433605,1.1771076595636933,13.777621690433605,1.1771076595636936
3,5,levy,earlbo,False,nan,nan,True,ok,4.001253949546984e-06,4.001253949546984e-06,4.001253949546984e-06,nan,nan,4.266840451128506,0.24510044943438886,4.266840451128506,0.24510044943438913
3,5,levy,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,levy,log_improvement,True,2,1.5,True,ok,0.041155118534487965,0.041155118534487965,0.041155118534487965,nan,nan,5.154525821884717,0.9597402603962019,5.154525821884716,0.959740260396201
3,5,levy,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,levy,optimistic_improvement,True,2,1.75,True,ok,0.04397209301741033,0.04379446180456233,0.04379446180456233,nan,nan,5.423309356636871,0.7839855272160275,5.423309356636871,0.7839855272160279
3,5,levy,budgeted_exploration,True,1,1.5,True,ok,0.10996065749637454,0.10996065749637453,0.10996065749637453,1.0,2.9605947323337506e-16,4.266840451128505,8.881784197001252e-16,4.266840451128505,7.251946429389431e-16
3,5,levy,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,levy,pure_bo,False,nan,nan,True,ok,0.004019060820928694,0.004019060820928694,0.004019060820928694,nan,nan,12.979066599681987,1.5365408202980748,12.979066599681987,1.5365408202980753
3,5,rosenbrock,earlbo,False,nan,nan,True,ok,0.9649509829340094,0.9649509829340094,0.9649509829340094,nan,nan,10.714200210197054,1.2053031694674043,10.714200210197056,1.2053031694674052
3,5,rosenbrock,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,rosenbrock,log_improvement,True,2,1.25,True,ok,0.8626227782237187,0.7899072259674602,0.7899072259674602,nan,nan,9.861872153135177,0.5831404830638708,9.86187215313518,0.5831404830638703
3,5,rosenbrock,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,rosenbrock,optimistic_improvement,True,2,1.5,True,ok,0.9871027376850995,0.9718746231976546,0.9718746231976546,nan,nan,9.962750723721046,1.1091679791112559,9.962750723721046,1.1091679791112559
3,5,rosenbrock,budgeted_exploration,True,0,2.5,True,ok,1.3426973994929003,1.3426973994929003,1.3426973994929003,0.49129629047253603,5.450353391547178,5.263846818649879,0.299628540337113,5.2638468186498795,0.29962854033711345
3,5,rosenbrock,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,rosenbrock,pure_bo,False,nan,nan,True,ok,0.320294603349201,0.320294603349201,0.320294603349201,nan,nan,24.522417619433707,1.3786092488589352,24.522417619433707,1.3786092488589352
